protein,Fasta_headers,T0.1,T0.2,T0.3,T2.1,T2.2,T2.3,T4.1,T4.2,T4.3,T6.1,T6.2,T6.3,T8.1,T8.2,T8.3
jgi|Aurli1|43000|fgenesh1_kg.3_#_258_#_isotig04793,jgi|Aurli1|43000|fgenesh1_kg.3_#_258_#_isotig04793,2363788.356,1729066.502,1788102.794,2476400,1850149.883,1933261.665,2192100.216,1566301.676,1641901.429,1977925.767,1353634.436,1433669.569,2061512.622,1434659.537,1466038.363
jgi|Aurli1|43011|fgenesh1_kg.3_#_269_#_isotig06418,jgi|Aurli1|43011|fgenesh1_kg.3_#_269_#_isotig06418,274617.4493,371222.6217,398124.0561,304100,476822.8393,426533.0449,255643.5525,386401.5344,382517.6841,244503.5893,373632.8301,361051.4308,260377.3904,376278.5835,406862.5504
jgi|Aurli1|43021|fgenesh1_kg.3_#_279_#_isotig04301,jgi|Aurli1|43021|fgenesh1_kg.3_#_279_#_isotig04301,699164.61,719613.2733,728897.088,768340,768610.9796,838796.4179,612711.4835,683527.6429,657593.2817,574863.4781,599610.1435,597115.3792,617083.9458,669688.5365,682598.1642
jgi|Aurli1|43032|fgenesh1_kg.3_#_290_#_isotig07105,jgi|Aurli1|43032|fgenesh1_kg.3_#_290_#_isotig07105,267806.8975,72151.8272,117109.6203,338230,92846.5191,118817.0976,425315.569,127792.1223,140300.3702,363428.2877,120490.4367,139039.6078,389152.2142,138082.1071,153073.6878
jgi|Aurli1|43039|fgenesh1_kg.3_#_297_#_isotig07182,jgi|Aurli1|43039|fgenesh1_kg.3_#_297_#_isotig07182,1358792.894,1191838.181,1245181.224,1647300,1456230.473,1495991.506,1540742.13,1345963.931,1398277.511,1567938.389,1367794.422,1360410.371,1592635.671,1368426.605,1353363.766
jgi|Aurli1|43049|fgenesh1_kg.3_#_307_#_isotig06420,jgi|Aurli1|43049|fgenesh1_kg.3_#_307_#_isotig06420,163384.9419,330872.1338,415141.4959,148600,293424.1328,375706.0537,152276.6967,279540.5554,336381.0529,148863.5001,291243.8034,309158.519,164938.622,315139.0026,321555.079
jgi|Aurli1|43066|fgenesh1_kg.3_#_324_#_isotig06963,jgi|Aurli1|43066|fgenesh1_kg.3_#_324_#_isotig06963,649061.1955,1087997.073,813188.1498,599710,1080543.51,830220.6704,773569.8712,1327115.536,1086112.563,801956.7832,1465508.37,1170712.557,1034425.528,1834962.083,1523125.288
jgi|Aurli1|43072|fgenesh1_kg.3_#_330_#_isotig05618,jgi|Aurli1|43072|fgenesh1_kg.3_#_330_#_isotig05618,493589.3732,291828.9979,622413.6923,592030,289886.0526,574377.5371,582549.9318,307728.3311,566265.2576,545886.8504,297861.8396,557181.4729,541194.7631,300362.4742,583612.8961
jgi|Aurli1|43084|fgenesh1_kg.3_#_342_#_isotig05474,jgi|Aurli1|43084|fgenesh1_kg.3_#_342_#_isotig05474,186509.5947,301568.7708,213641.2967,203160,323542.1643,215439.51,209159.3924,368938.4959,238852.7157,226009.5934,356289.3575,234793.9655,213704.956,327204.2414,229224.1858
jgi|Aurli1|43094|fgenesh1_kg.3_#_352_#_isotig05782,jgi|Aurli1|43094|fgenesh1_kg.3_#_352_#_isotig05782,1296834.436,1453028.449,874590.2574,1152000,1358268.028,785633.7556,1220378.324,1457546.433,808403.8016,1192994.399,1504172.162,856309.4789,1182564.03,1420715.762,822743.6817
